hour_of_year,temperature,heat_runtime,aux_runtime,emg_runtime
4791,74.0108950529449,0,0,0
4792,74.5760044695379,0,0,0
4793,75.0528658721805,0,0,0
4794,75.4715813079574,0,0,0
4795,75.7284045770677,0,0,0
4796,75.695914614975,0,0,0
4797,75.4537942219268,0,0,0
4798,75.1931811668953,0,0,0
4799,74.8708222335858,0,0,0
4800,74.4873400157828,0,0,0
4801,74.0816784469697,0,0,0
4802,73.6364798848547,0,0,0
4803,73.2024287846692,0,0,0
4804,72.7462399557888,0,0,0
4805,72.3217216650763,0,0,0
4806,71.9205347290077,0,0,0
4807,71.5728122710182,0,0,0
4808,71.4458685497465,0,0,0
4809,71.4501576715957,0,0,0
4810,71.6044214750631,0,0,0
4811,71.8748706218778,0,0,0
4812,72.3074800792607,0,0,0
4813,72.795932735643,0,0,0
4814,73.2842036967162,0,0,0
4815,73.7565113586884,0,0,0
4816,74.196933004321,0,0,0
4817,74.5600800571956,0,0,0
4818,74.8760293324108,0,0,0
4819,75.1243632730628,0,0,0
4820,75.1485066996135,0,0,0
4821,74.9455775762081,0,0,0
4822,74.6224580687733,0,0,0
4823,74.2539131387856,0,0,0
4824,73.8890000366915,0,0,0
4825,73.4206372747212,0,0,0
4826,72.9544089597274,0,0,0
4827,72.4503784804833,0,0,0
4828,71.9260934566009,0,0,0
4829,71.4265420697045,0,0,0
4830,70.9563663956767,0,0,0
4831,70.579198252809,0,0,0
4832,70.3975508656717,0,0,0
4833,70.4147098718906,0,0,0
4834,70.6453914458955,0,0,0
4835,71.0493381034204,0,0,0
4836,71.5895016182897,0,0,0
4837,72.2383785538011,0,0,0
4838,72.9067562388476,0,0,0
4839,73.6040881554307,0,0,0
4840,74.258601698814,0,0,0
4841,74.8628530935945,0,0,0
4842,75.2369800083955,0,0,0
4843,75.4494695898632,0,0,0
4844,75.4578222397388,0,0,0
4845,75.3404743264926,0,0,0
4846,75.0769944287936,0,0,0
4847,74.7042889415422,0,0,0
4848,74.3451003592385,0,0,0
4849,73.9572128830224,0,0,0
4850,73.5756010264304,0,0,0
4851,73.1784223305348,0,0,0
4852,72.7796142759051,0,0,0
4853,72.3428662083333,0,0,0
4854,71.9376314505012,0,0,0
4855,71.6307656415094,0,0,0
4856,71.4925008749064,0,0,0
4857,71.6022481727301,0,0,0
4858,71.9686414984793,0,0,0
4859,72.4451041853254,0,0,0
4860,73.0992547877281,0,0,0
4861,73.7879243804619,0,0,0
4862,74.4614755269423,0,0,0
4863,75.1188069113408,0,0,0
4864,75.7396268765664,0,0,0
4865,76.3203147712235,0,0,0
4866,76.7443507212859,0,0,0
4867,77.0248765078027,0,0,0
4868,77.1402985062422,0,0,0
4869,76.9453074204121,0,0,0
4870,76.5692019272388,0,0,0
4871,76.1745705872424,0,0,0
4872,75.8250122334582,0,0,0
4873,75.4649040870787,0,0,0
4874,75.0998792119226,0,0,0
4875,74.6749680720974,0,0,0
4876,74.2185649592661,0,0,0
4877,73.7955685441542,0,0,0
4878,73.3883036669765,0,0,0
4879,73.0872077635354,0,0,0
